sale_type,sold_date,property_type,address,city,state_or_province,zip_code,price,beds,baths,location,sq_feet,lot_size,yr_built,days_on_mkt,price_per_sq_foot,hoa_per_month,status,next_open_house_start_time,next_open_house_end_time,url,source,mls_num,favorite,interested,latitude,longitude
MLS Listing,,Condo/Co-op,175 Red Rock Way Unit 108K,San Francisco,CA,94131,610000,0,1.0,Diamond Heights,592,,1972,6,1030,550,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/175-Red-Rock-Way-94131/unit-108K/home/1822582,San Francisco MLS,483262,N,Y,37.745807,-122.442069
MLS Listing,,Condo/Co-op,553 Frederick St #301,San Francisco,CA,94117,999000,2,2.0,Parnassus/Ashbury Heights,922,,1982,6,1084,310,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/553-Frederick-St-94117/unit-301/home/1172539,San Francisco MLS,483875,N,Y,37.7659855,-122.4537596
MLS Listing,,Single Family Residential,120 Brewster St,San Francisco,CA,94110,1370000,4,4.5,Bernal Heights,,1750,1900,6,,,Active,,,http://www.redfin.com/CA/San-Francisco/120-Brewster-St-94110/home/1439294,San Francisco MLS,483871,N,Y,37.7448247,-122.4071608
MLS Listing,,Condo/Co-op,744 Union St #3,San Francisco,CA,94133,749000,2,1.0,North Beach,700,,,6,1070,321,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/744-Union-St-94133/unit-3/home/103968874,San Francisco MLS,483865,N,Y,37.800457,-122.411703
MLS Listing,,Multi-Family (2-4 Unit),706 Vermont St,San Francisco,CA,94107,1800000,5,3.0,Potrero Hill,2383,2500,1900,6,755,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/706-Vermont-St-94107/home/1874182,San Francisco MLS,483586,N,Y,37.7605702,-122.4043952
MLS Listing,,Single Family Residential,32 Laidley St,San Francisco,CA,94131,2600000,3,2.0,Glen Park,2220,4580,1936,6,1171,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/32-Laidley-St-94131/home/1869949,San Francisco MLS,483821,N,Y,37.7411917,-122.431971
MLS Listing,,Single Family Residential,50 Cerritos Ave,San Francisco,CA,94127,1795000,3,1.5,Ingleside Terrace,,5695,1925,6,,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/50-Cerritos-Ave-94127/home/812827,San Francisco MLS,483782,N,Y,37.7267399,-122.4677988
MLS Listing,,Single Family Residential,424 Cayuga Ave,San Francisco,CA,94112,849000,2,1.0,Mission Terrace,975,1454,1939,6,871,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/424-Cayuga-Ave-94112/home/818144,San Francisco MLS,483722,N,Y,37.7296871,-122.4350787
MLS Listing,,Condo/Co-op,1200 California St Unit 20B,San Francisco,CA,94109,2699000,2,2.0,Nob Hill,1847,,1962,6,1461,2599,Active,,,http://www.redfin.com/CA/San-Francisco/1200-California-St-94109/unit-20B/home/12400440,San Francisco MLS,483734,N,Y,37.7917486,-122.4144729
MLS Listing,,Multi-Family (2-4 Unit),479-481 33rd Ave,San Francisco,CA,94121,1495000,,,Outer Richmond,3200,2996,1924,7,467,,Active,April-28-2019 11:00 AM,April-28-2019 01:00 PM,http://www.redfin.com/CA/San-Francisco/479-33rd-Ave-94121/home/1172869,San Francisco MLS,483866,N,Y,37.78016,-122.4936714
MLS Listing,,Single Family Residential,2377 Filbert,San Francisco,CA,94123,3295000,3,2.5,Cow Hollow,,3300,1910,7,,,Active,April-28-2019 02:30 PM,April-28-2019 04:30 PM,http://www.redfin.com/CA/San-Francisco/2377-Filbert-St-94123/home/1658917,San Francisco MLS,478808,N,Y,37.7973334,-122.438474
